x,y,cls
354.005486774258,871.966176037677,1
49.807537207379895,107.305745501071,1
563.2413198240099,628.344845236279,3
19.608674780465698,885.6578134931619,1
849.320768122561,655.927191185765,1
57.686501252465,731.008449476212,1
565.893764491193,687.484985380433,3
379.258520482108,693.5968040954319,2
751.5598094556481,47.6182052632794,1
860.951615776867,731.198968039826,1
387.917652586475,33.2428389927372,1
825.686531374231,333.57334658503504,1
294.872896419838,855.511266295798,1
851.62016346585,200.13614287599898,1
29.854513937607397,9.25145647488534,1
241.462715598755,660.017378465272,2
86.62686513271179,336.456521577202,1
79.6083602355793,199.095975724049,1
221.57313558272998,872.135599446483,1
42.1975918114185,868.9749247860159,1
811.146080167964,577.4074685527011,1
499.86444991082,828.611974627711,1
662.0961388573049,689.8322145687421,3
299.309804476798,834.643074776977,1
366.340779117309,34.9568292265758,1
741.617862903513,867.5240577897059,1
18.754227552563,898.153545730747,1
303.50440365727997,815.1686284225431,1
518.808842101134,808.386002853513,1
861.6081956075501,350.576999410987,1
14.661196083761801,390.38116161245904,1
578.555907052942,308.14490981865697,5
870.725620631129,582.645014952868,1
232.992878719233,667.805604008026,2
331.039019278251,214.74054402206102,4
333.00093719735696,239.313763892278,4
429.66501675546203,819.7659241966901,1
837.401680019684,642.718035145663,1
263.212748919614,889.946185634471,1
587.221366236918,597.4199065240099,3
554.702003253624,92.0420756097883,1
611.940997838974,663.53921990376,3
887.7058519050481,410.035930364393,1
96.20704916305841,154.411594779231,1
242.377199674957,41.048600105568795,1
79.1366768069565,360.801042895764,1
711.038577533327,53.7197991041467,1
468.49497507792,88.8988512335345,1
801.8733900273219,164.586448017508,1
292.802260816097,240.577744413167,4
838.958516274579,587.291749496944,1
265.459336177446,327.846701256931,4
722.657466307282,870.0204775203019,1
667.501582321711,210.154988989234,5
474.39229858573503,8.83563843090087,1
396.965504880063,230.190886440687,4
896.4064687723289,631.800949922763,1
676.756268972531,893.394813663326,1
556.4378304406999,278.772378782742,5
323.83447845932096,807.467839960009,1
411.903904750943,808.099198015407,1
227.15612933971002,362.33400455676,4
886.515707359649,37.2653859900311,1
60.55383842904121,777.682675793767,1
367.061485117301,881.152569875121,1
882.621420244686,795.804550359026,1
133.475500415079,862.124714883976,1
820.034497976303,842.7407970651981,1
277.08410925697495,395.64235608559096,4
536.103827878833,519.446459133178,3
640.8207381377,820.102665689774,1
83.1184978131205,36.5297897486016,1
187.84976920578603,94.3001433508471,1
51.907381438650205,500.787742738612,1
7.74544242303818,156.850205152296,1
295.597691531293,843.6088933842261,1
693.109385948628,61.778607359156,1
651.790994172916,200.01223194412898,5
668.583731073886,382.963794004172,5
532.560001546517,697.4001377122479,3
551.30468106363,204.35947396326802,5
880.8261838043111,269.102269504219,1
572.517127403989,525.730268424377,3
436.565748788416,882.764432905242,1
632.895063632168,854.643432749435,1
557.370513933711,890.336451656185,1
845.856543886475,837.6551686786121,1
50.291845458559706,498.086365568452,1
638.83281997405,553.499234933406,3
772.936983872205,847.3020164994521,1
652.354593132623,37.4625006923452,1
405.315427528694,9.00528647471219,1
11.709712771698802,37.2157093835995,1
13.146124756895,743.4823791263631,1
93.2618964929134,796.380204171874,1
266.627986798994,271.809633239172,4
739.1977631254119,73.1030331691727,1
814.021502947435,119.24470269586901,1
18.7216297024861,885.754253785126,1
137.07440905273,47.6491116452962,1
688.123551243916,649.559276830405,3
533.792644017376,215.84770227782397,5
576.0805849917231,851.3600463978951,1
296.48143874947004,60.2669292362407,1
354.64735950809,262.470699870028,4
639.696341869421,50.9666389552876,1
505.518605397083,807.9430031357331,1
890.5280799837781,591.932300082408,1
364.04463720973604,887.604317720979,1
204.636375373229,852.798904222436,1
2.6467074640095203,529.243160923943,1
1.9946069223806298,163.10507697053302,1
252.162439003587,42.54868857096879,1
324.353130091913,672.061868221499,2
339.029194205068,65.9310248214751,1
695.789288263768,819.840709422715,1
628.454569377936,586.183590232395,3
405.44912454206496,90.53461295552549,1
83.81176607217641,526.093816710636,1
471.02987738326203,854.323474760167,1
606.72316190321,832.619062880985,1
825.579861807637,764.6171954227609,1
118.188268993981,61.5315660601482,1
239.36291013378602,308.734895009547,4
525.072354404256,565.186305670068,3
326.562324003316,312.03216305002604,4
243.446712289006,90.12429344002159,1
250.758504797705,581.247986806557,2
816.359163774177,645.539174624719,1
552.3739149793979,611.733591835946,3
568.644312210381,624.005383928306,3
884.7227769903841,211.170647875406,1
673.5506423749031,823.608083627187,1
454.237389424816,76.21327349916099,1
296.232643327676,821.566646592692,1
477.230582828633,825.6821426097299,1
488.606769195758,69.4570056628436,1
842.0502390945329,457.45725750457495,1
676.511351019144,338.547198101878,5
19.0214212518185,51.863255328498795,1
233.30856570973998,225.72405645623797,4
49.830742715857895,41.910682828165605,1
300.517004099675,592.566676880233,2
508.44191231299203,671.678237733431,3
880.0119900377471,301.45047318656003,1
558.807263500057,268.699421407655,5
387.15132158249605,294.605881674215,4
54.531614924780996,142.232591402717,1
860.4619496036321,739.088306995109,1
203.028482221998,578.937976411544,2
575.788802560419,35.119535587728,1
90.7191256759688,286.185788875446,1
141.198083292693,847.881722962484,1
653.705715271644,41.4507219102234,1
418.668277258985,841.348882508464,1
42.540912050753796,453.095826599747,1
219.281930406578,579.445396503434,2
727.554934378713,814.470447949134,1
364.164788858034,99.3221484823152,1
262.805805006064,35.0284002022818,1
641.452245390974,224.796177470125,5
299.487051763572,670.216886862181,2
648.594900523312,692.42027301807,3
46.699180500581896,291.873562918045,1
529.9260789994149,305.38535930682,5
62.8955508582294,847.167848423123,1
831.460675690323,346.616913308389,1
625.295688863844,663.618847355247,3
44.56830038689079,639.602761692367,1
38.950020074844396,431.931278225966,1
690.846474096179,339.053211500868,5
670.687054633163,336.729059158824,5
271.57918831799196,204.460160108283,4
561.959293065593,591.412214515731,3
806.566381780431,364.865011163056,1
517.568908422254,299.551553861238,5
206.09164496418097,513.6171935359021,2
622.545403498225,8.03984692320228,1
762.026980309747,889.839902264066,1
617.715475545265,654.374167020433,3
603.678247402422,663.5767226340249,3
396.498082601465,297.962900949642,4
424.87230696715403,888.9638927998019,1
52.6945984689519,516.154792089947,1
357.907206122763,10.3166729444638,1
37.8419942921028,743.8021883368491,1
207.240550336428,345.824937243015,4
869.364006025717,797.72959377151,1
317.46974021662004,892.3516644397749,1
